epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2206.37,1.30915,0.63324,0.00848,0.85777,0.80717,0.85252,0.43585,1.77483,0.80889,0.01279,0.0009044,0.0009044,0.0009044
85,2233.42,1.29722,0.62293,0.00841,0.87566,0.78405,0.85478,0.43923,1.76565,0.84138,0.01277,0.0008912,0.0008912,0.0008912
86,2259.43,1.28529,0.6225,0.00827,0.86428,0.80205,0.85433,0.43728,1.77341,0.8187,0.0128,0.000878,0.000878,0.000878
87,2283.09,1.27741,0.61804,0.00828,0.87239,0.79715,0.85889,0.43866,1.77286,0.82374,0.01284,0.0008648,0.0008648,0.0008648
88,2308.82,1.2838,0.61957,0.00823,0.84992,0.81185,0.85555,0.43568,1.78566,0.80517,0.0129,0.0008516,0.0008516,0.0008516
89,2335.5,1.27718,0.60407,0.00821,0.86327,0.79158,0.85302,0.4336,1.77338,0.84404,0.01286,0.0008384,0.0008384,0.0008384
90,2358.65,1.27586,0.59998,0.00818,0.84765,0.81021,0.86,0.43708,1.7747,0.80425,0.01285,0.0008252,0.0008252,0.0008252
91,2384.01,1.28291,0.61875,0.0083,0.85349,0.80292,0.8577,0.43351,1.7825,0.815,0.0129,0.000812,0.000812,0.000812
92,2409.98,1.2661,0.60356,0.00814,0.863,0.80205,0.86296,0.43823,1.76774,0.82006,0.0128,0.0007988,0.0007988,0.0007988
93,2433.9,1.26452,0.59151,0.00808,0.85621,0.80481,0.85827,0.43316,1.77659,0.83785,0.01289,0.0007856,0.0007856,0.0007856
94,2458.42,1.26306,0.60745,0.0081,0.8511,0.80819,0.86264,0.43329,1.79058,0.79549,0.0129,0.0007724,0.0007724,0.0007724
95,2483.88,1.2628,0.60182,0.00806,0.85334,0.80672,0.85831,0.42782,1.80693,0.80677,0.01299,0.0007592,0.0007592,0.0007592
96,2509.81,1.25848,0.59731,0.00817,0.8611,0.80341,0.85257,0.43298,1.77496,0.80135,0.01287,0.000746,0.000746,0.000746
